crawl_date,crawl_time,asin,name,rank,stars,reviews,price,url
,,B08JHCVHTY,Blink Subscription Plus Plan with monthly auto-renewal,1,4.4,258544,$10,https://www.amazon.com/dp/B08JHCVHTY
,,B0CWXNS552,"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",2,4.7,38669,$22.99,https://www.amazon.com/dp/B0CWXNS552
,,B0CQMRKRV5,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",5,4.7,34221,$24.99,https://www.amazon.com/dp/B0CQMRKRV5
,,B0CJM1GNFQ,"Amazon Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.8 million movies and shows, free & live TV",6,4.7,82088,$29.99,https://www.amazon.com/dp/B0CJM1GNFQ
,,B0DXXYS4BJ,"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",8,4.7,2192,$19,https://www.amazon.com/dp/B0DXXYS4BJ
,,B0DCH8VDXF,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",9,4.6,15454,$16.99,https://www.amazon.com/dp/B0DCH8VDXF
,,B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",10,4.5,108958,$9.99,https://www.amazon.com/dp/B00NJ2M33I
,,B0D7FVQ1ZB,"Apple EarPods Headphones with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume",11,4.6,15454,$15.96,https://www.amazon.com/dp/B0D7FVQ1ZB
,,B0BP9SNVH9,"Amazon Fire TV Stick 4K Max streaming device (newest model) with AI-powered Fire TV Search, supports Wi-Fi 6E, free & live TV without cable or satellite",12,4.6,60783,$39.99,https://www.amazon.com/dp/B0BP9SNVH9
,,B0DGQZ8JZK,"Blink Video Doorbell (newest model) – Head-to-toe HD view, two-year battery life, and simple setup. Sync Module Core included – System (Black)",13,4.3,4884,$39.99,https://www.amazon.com/dp/B0DGQZ8JZK
,,B0DC6GXZSV,"Surge Protector Power Strip - CHCORE 5Ft Braided Extension Cord with 8 Outlets with 4 USB (2 USB C) Charging Ports, Flat Plug Multi Plug Outlet Extender Charging Station for Home Office, ETL, White",14,4.6,3279,$8.98,https://www.amazon.com/dp/B0DC6GXZSV
